LAD13CD,LAD21NM,year,EmpRate,QualProportion,LTsick,digital,MaxMinRatio,Access,ratio_80_20,AffRatio,child_poverty,food,Decent,Turnout,PermEmp,tdr,sr,le_both,le_var_abs_both,le_var_rel_both,le_male,le_var_abs_male,le_var_rel_male,le_female,le_var_abs_female,le_var_rel_female,Cluster
S12000014,Falkirk,2020,73.6,75.78,7.31,52.8037,2.1637,36.92,2.66,5.2174,24.78,8.35,14.8,41.58,94.53,54.5279,0.9609,78.2741,11.3514,0.145,76.4044,11.8041,0.1545,80.2052,10.9243,0.1362,1
S12000017,Highland,2020,79.5,74.54,5.78,36.859,2.456,91.35,3.03,6.9727,23.58,5.56,14.1,38.49,96.32,61.9244,0.9617,79.9753,11.4883,0.1436,77.7487,12.2971,0.1582,82.3683,10.5979,0.1287,3
S12000018,Inverclyde,2020,68.6,78.93,11.95,58.7719,3.3118,24.56,2.87,4.8371,23.81,10.52,23.9,40.47,96.39,57.0552,0.92,77.3784,11.9056,0.1539,75.0499,12.6282,0.1683,79.7095,11.0674,0.1388,1
S12000019,Midlothian,2020,80.5,85.65,5.67,57.3913,1.2232,50.43,2.83,8.0787,23.9,7.96,20.4773,38.18,96.15,59.6581,0.9258,79.6589,10.68,0.1341,77.9795,11.16,0.1431,81.3808,10.2296,0.1257,3
S12000020,Moray,2020,75.6,85.71,5.4,40.4762,1.2632,96.83,2.9277,7.2415,23.39,7.35,21.5,39.15,96.57,60.3015,0.9855,80.186,11.0709,0.1381,77.8109,11.7121,0.1505,82.8427,10.3397,0.1248,3
S12000021,North Ayrshire,2020,68.6,78.16,7.81,66.129,2.1216,53.23,2.86,4.2458,27.92,8.2,15.9,49.31,93.53,62.5908,0.9104,76.7852,12.214,0.1591,74.2772,13.2267,0.1781,79.2572,11.2375,0.1418,1
S12000023,Orkney Islands,2020,85.9,32.08,5.18,34.4828,1.6481,100,3.0077,9.6992,22.69,7.21,23.044,34.72,92.79,64.7059,1,82.2633,9.9696,0.1212,80.5339,10.9546,0.136,84.1091,9.0285,0.1073,3
S12000026,Scottish Borders,2020,76.5,78.29,6.12,43.3566,3.1498,84.62,2.82,6.8224,24.18,6.57,24.2,41.69,95.25,68.1752,0.9492,81.0233,10.6095,0.1309,79.352,11.2498,0.1418,82.7021,10.0745,0.1218,3
S12000027,Shetland Islands,2020,76.5,64.71,9.42,23.3333,2.1856,93.33,2.8275,5.7963,15.78,7.33,15.1322,33.07,94.46,60.2837,1.036,80.7639,10.6964,0.1324,78.7556,10.8082,0.1372,83.1755,10.3994,0.125,3
S12000028,South Ayrshire,2020,72.2,76.05,6.27,51.634,2.2928,64.71,2.55,5.3508,24.83,8.67,15.9,42.15,94.86,67.3134,0.9162,78.8549,11.5042,0.1459,76.6709,12.2912,0.1603,81.0262,10.7128,0.1322,1
S12000029,South Lanarkshire,2020,77,80.39,4.87,50.8121,2.6344,62.41,2.89,4.9239,23.08,6.99,20.4,37.83,96.23,56.4603,0.939,78.4027,11.2164,0.1431,76.2124,11.8882,0.156,80.6347,10.471,0.1299,3
S12000030,Stirling,2020,74.7,86.18,6.9,27.2727,2.48,66.12,2.9076,7.2338,21.29,7.52,14.2,42.8,95.8,52.6742,0.9383,79.7842,11.3479,0.1422,77.7116,11.7573,0.1513,81.8997,10.9439,0.1336,2
S12000033,Aberdeen City,2020,78.6,88.72,5.46,32.8622,3.1667,22.26,3.26,6.2638,21.34,6.71,11.9,37.33,95.9,44.4515,0.9922,79.0971,11.349,0.1435,77.2228,11.5843,0.15,81.1126,10.9603,0.1351,2
S12000034,Aberdeenshire,2020,79.9,87.24,3.36,20.2941,2.3457,87.06,3.34,7.8,16.67,6.72,18.7,41.46,96.46,60,0.9893,80.7215,10.7316,0.1329,79.2994,11.0989,0.14,82.2839,10.3966,0.1263,2
S12000035,Argyll and Bute,2020,75.9,82.73,6.65,43.2,2.7879,81.6,2.92,6.5202,23.29,9.54,19.9,39.51,93.86,65.8252,1.0047,80.2436,10.8913,0.1357,78.3357,11.4856,0.1466,82.3257,10.2823,0.1249,3
S12000036,City of Edinburgh,2020,75.1,85.8,3.3,26.8007,2.2727,12.4,3.35,8.1507,20.25,8.45,11.2,41.52,91.83,41.4745,0.9544,80.3517,11.0615,0.1377,78.1498,11.6212,0.1487,82.6837,10.3458,0.1251,2
S12000038,Renfrewshire,2020,75.9,85.8,6.52,51.5556,3.1999,33.33,3.11,5.1117,23.11,7.98,20.2,39.69,97.2,53.3333,0.9353,77.7789,11.4468,0.1472,75.66,11.9976,0.1586,79.9378,10.826,0.1354,1
S12000039,West Dunbartonshire,2020,72.1,76.74,9.95,71.9008,1.3113,30.58,2.45,4.4136,26.75,10.72,16.1986,40.05,96.91,54.9123,0.9154,75.8668,12.2864,0.1619,73.3352,13.2606,0.1808,78.3849,11.1849,0.1427,1
S12000040,West Lothian,2020,76.9,76.61,7.91,47.2803,1.6357,50.63,2.53,6.1507,24.64,8.85,14.5,38.06,97.37,53.0391,0.9679,78.8888,11.2974,0.1432,76.9933,12.0275,0.1562,80.8742,10.5584,0.1306,1
S12000041,Angus,2020,77.4,80.92,7.36,41.9355,2.0947,79.35,2.85,6.7745,24.05,7.43,25.2,41.61,96.9,65.2422,0.9595,79.8065,11.2436,0.1409,78.4366,11.5022,0.1466,81.2624,11.0545,0.136,3
S12000042,Dundee City,2020,72.6,89.09,7.62,54.2553,2.3889,14.89,2.31,5.2813,26.76,10.37,11.8,40.92,92.61,48.5572,0.9314,76.2559,12.4819,0.1637,73.8174,12.9378,0.1753,78.8391,11.8634,0.1505,1
S12000045,East Dunbartonshire,2020,76.7,86.64,4.48,21.5385,2.0516,68.46,2.92,6.5745,16.28,6.61,27.6,42.82,96.01,65.2968,0.9393,82.2848,10.1008,0.1228,80.4232,10.5819,0.1316,84.1373,9.6353,0.1145,2
S12000047,Fife,2020,72.4,82.6,7.33,47.5709,4.3098,38.06,2.92,5.8807,26.36,7.02,14.9,42.43,92.94,58.609,0.9459,78.9761,11.3339,0.1435,76.9928,12.035,0.1563,81.0374,10.6228,0.1311,1
S12000048,Perth and Kinross,2020,79.6,79.8,4.25,27.4194,2.113,68.28,2.89,7.6247,22.63,8.47,24.3,41.69,96.39,63.4409,0.9664,81.0155,11.1801,0.138,79.2829,11.7798,0.1486,82.9129,10.5939,0.1278,2
S12000049,Glasgow City,2020,66.6,82.24,8.06,62.4665,2.55,17.16,3.2,5.8402,32.25,8.39,11,32.62,94.68,39.6923,0.9635,75.5239,12.17,0.1611,73.0113,12.696,0.1739,78.1726,11.3835,0.1456,1
S12000050,North Lanarkshire,2020,71.3,76.53,8.35,68.0089,2.4706,48.77,2.64,4.5859,26.47,8.56,16.7,37.83,98.32,52.87,0.938,76.5273,11.8975,0.1555,74.3296,12.5135,0.1684,78.7513,11.2107,0.1424,1
W06000001,Isle of Anglesey,2020,75.1,80.21,5.09,38.6364,1.8919,88.64,2.33,7.8933,31.42,11.09,23.3,38.77,94.36,73.8272,0.9665,82.1232,10.7517,0.1309,80.4853,11.1357,0.1384,83.7583,10.3623,0.1237,3
W06000002,Gwynedd,2020,74.3,79.29,4.57,39.726,4.7486,71.23,3.18,7.6307,30.03,14.06,34,39.45,93.48,62.3057,0.9857,81.7358,10.6817,0.1307,79.8636,11.3325,0.1419,83.7708,9.9365,0.1186,1
W06000003,Conwy,2020,73.3,78.4,4.6,45.0704,2.561,45.07,3.77,7.7682,30.54,10.6,27.7,43.34,95.82,75.3709,0.9537,81.3929,11.5474,0.1419,79.0435,12.5041,0.1582,83.824,10.4697,0.1249,3
W06000004,Denbighshire,2020,72.6,74.24,6.61,41.3793,3.55,60.34,3.06,7.6158,30.53,11.65,23.7,38.72,94.04,70.0176,0.9673,80.2605,10.7462,0.1339,78.7587,11.2746,0.1432,81.7849,10.2441,0.1253,1
W06000005,Flintshire,2020,80.2,79.71,4.55,33.6957,3.5789,66.3,2.55,7.2533,26.67,9.66,23.7,38.69,96.32,62.5907,0.9711,81.1507,10.7861,0.1329,79.6482,11.4443,0.1437,82.6955,10.133,0.1225,3
W06000006,Wrexham,2020,74.1,78.63,6.85,41.1765,3.2836,60,2.77,6.3291,31.94,11.64,18.8,36.72,95.87,62.0238,1.0133,79.7676,11.3793,0.1427,78.0972,12.2229,0.1565,81.5687,10.4702,0.1284,1
W06000008,Ceredigion,2020,72.8,82.98,4.01,47.8261,2.625,86.96,3.11,8.7648,31.84,11.46,24.4,40.4,93.99,64.2697,0.9864,82.5104,10.6049,0.1285,80.1861,11.3555,0.1416,84.9571,9.7451,0.1147,3
W06000009,Pembrokeshire,2020,74.9,81.4,6.77,49.2958,4.7733,97.18,3.08,8.0866,32.41,10.97,26.7,38.01,93.64,72.2449,0.9628,81.2795,11.1904,0.1377,79.166,11.9437,0.1509,83.4999,10.3199,0.1236,1
W06000010,Carmarthenshire,2020,70.4,74.49,8.79,41.9643,3.6471,84.82,2.9,6.3497,31.31,13.72,20.4,35.98,93.83,67.5771,0.9588,80.8322,10.562,0.1307,78.9267,11.2428,0.1424,82.8088,9.819,0.1186,1
W06000011,Swansea,2020,70.5,81.12,6.88,42.5676,4.9419,23.65,2.74,6.7511,29.85,11.1,22.2,37.46,93.25,55.5485,0.9911,79.9642,11.5446,0.1444,77.8298,12.1155,0.1557,82.1364,10.745,0.1308,1
W06000012,Neath Port Talbot,2020,71.8,78.67,7.8,63.7363,3.2727,47.25,2.39,5.2651,30.48,13.58,25.9,34.03,96.51,59.3164,0.9714,79.2165,11.3325,0.1431,77.3899,11.6832,0.151,81.0974,10.842,0.1337,1
W06000013,Bridgend,2020,75.7,84.73,7.55,50,4.4667,39.77,2.98,6.7435,29.3,11.9,24.4,37.43,95.64,59.0076,0.9812,79.6775,11.0281,0.1384,77.393,11.9777,0.1548,82.0446,9.9236,0.121,1
W06000014,Vale of Glamorgan,2020,73.6,87.23,6.02,30.3797,3.8864,51.9,2.71,9.4294,25.02,11.31,22.1,39.17,93.86,62.545,0.9454,82.0364,10.5012,0.128,80.1192,10.9385,0.1365,83.928,9.9563,0.1186,1
W06000015,Cardiff,2020,75.1,84.44,4.57,31.3084,3.0612,16.82,2.67,8.7902,33.1,10.77,14.3,34.74,93.18,46.4314,0.9898,80.7319,11.0506,0.1369,78.4472,11.568,0.1475,83.0904,10.2468,0.1233,1
W06000016,Rhondda Cynon Taf,2020,71,80.72,7.91,65.5844,4.1565,25.32,2.7,5.1108,31.66,18.54,26.8,34.18,96.47,54.4065,0.9682,78.4384,11.4979,0.1462,76.3844,12.0441,0.157,80.5992,10.7645,0.1333,1
W06000018,Caerphilly,2020,71.2,75.89,8.95,56.3636,2.9536,36.36,2.91,6.2213,30.9,14.66,22.6,36.24,94.15,58.5876,0.9622,79.733,11.0854,0.139,77.7317,11.5652,0.1488,81.7956,10.4888,0.1282,1
W06000019,Blaenau Gwent,2020,70.1,72.41,10.09,87.234,2.0711,63.83,2.39,5.4216,32.82,14.73,24.414,34.28,97.1,57.7878,0.969,78.8174,10.8273,0.1374,77.5176,11.3228,0.1461,80.1213,10.3797,0.1295,1
W06000020,Torfaen,2020,74,79.17,9.21,56.6667,2.6285,16.67,2.42,6.2054,30.81,11.53,25.6,39.64,95.38,61.3559,0.9508,80.0394,11.2627,0.1407,78.7009,11.6044,0.1474,81.3791,10.9017,0.134,1
W06000021,Monmouthshire,2020,80.4,86.09,3.21,19.6429,3.0018,94.64,3.53,9.9898,23.42,9.94,21.5,41.15,93.91,67.7249,0.973,83.6732,9.9232,0.1186,82.2728,10.2703,0.1248,85.0579,9.6111,0.113,2
W06000022,Newport,2020,76,75.63,7.25,49.4737,2.4701,36.84,2.66,7.4606,32.54,15.51,17.2,33.7,93.87,57.1859,0.9747,79.954,11.2393,0.1406,78.0169,11.7272,0.1503,81.972,10.5766,0.129,1
W06000023,Powys,2020,78.2,83.86,5.08,30.3797,3.4766,96.2,3.03,8.2612,30.03,9.75,28,36.87,94.42,73.4987,0.9806,82.3784,10.322,0.1253,80.4676,10.8787,0.1352,84.3905,9.6416,0.1142,3
W06000024,Merthyr Tydfil,2020,67.9,67.56,8.99,66.6667,2.0353,19.44,2.14,4.9551,31.81,15.12,25.6,39.71,93.52,59.0551,0.9548,78.4856,11.4289,0.1456,76.3409,12.2184,0.1601,80.7308,10.6006,0.1313,1
